date,title,content
1961/05/15,"참부모님, 36가정 축복결혼식","참부모님 양위분의 주례로 36가정 성혼식이 1961년 5월 15일 새벽 4시 30분 서울 청파동 전본부교회에서 거행됐다. 참부모님께서는 36가정은 아담가정, 노아가정, 야곱가정이 실패했던 역사적 2천년 기간의 모든 것을 비로소 탕감했다는 것을 말하는 것이라고 그 의미를 말씀하셨다. 12지파의 소생, 장성, 완성을 상징하는 36가정은 통일교회 축복결혼의 대표적 가정이 되었다."
1961/06/01,일본 최초 개척전도,
1961/07/01,일본 전국 6개소 교회 개설,
1962/05/05,대한어린이무용단(리틀엔젤스예술단) 창단,
1962/06/04,"참부모님, 72가정 축복결혼식",
1962/09/18,미국 샌프란시스코 통일교회 법인 단체 등록,
1962/10/07,"제1회 전국성화학생 총회, 주제 '역사의 결실체가 되라'",
1962/12/29,"문효진(文孝進)님 탄생(음12.3), 저녁 5시 49분",
1963/02/08,"참부모님, 기성가정 26가정 축복결혼식",
1963/03/28,"참부모님, 독신가정 41가정 축복결혼식",
1963/04/01,미국교회 미 연방정부에 등록,
1963/04/07,"참부모님, 기성가정 27가정 축복결혼식, 주제 '피와 땀과 눈물의 상속자'",주제 ‘피와 땀과 눈물의 상속자‘
1963/05/31,"세계기독교통일신령협회 정부 등록, 사회단체 제261호",
1963/07/24,"참부모님, 124가정 축복결혼식",오전 10시
1963/07/26,선화어린이무용단 창단,"선화어린이무용단 단원 구성 17명, 대한어린이무용단을 개명, 지도 신순심"
1963/07/27,"참부모님, 제1회 전국성화학생회 특별수련회 개회식",
1963/10/04,세계기독교통일신령협회 재단법인 인가,"문화공보부, 제50호, 종무 1- 50"
1963/11/08,"참아버님, 제1회 전국성화학생 동창총회, 주제 '너는 어떠한 존재냐'","11.15까지, 회장 김병호, 부회장 송문규 최영자 등 선출"
1964/05/07,미국에서 독일선교사 파송,
1964/05/07,"독일어 원리책 발행, 최초 독일어판 70권, 우르슬라 슈만과 피터 코흐 번역",
1964/05/15,"참부모님, 제1회 종교문제 대강연회",
1964/07/15,"일본 통일교회 종교법인 등록, 일본 정부",
1964/07/28,문혜진(文惠進)님 탄생(음6.20),0:19
1964/09/03,복지농도원 설립,
1964/10/01,"참아버님, 제1차 전국순회 원리대강연회 격려차 지방순회",10월 1일 경기지구 8일 충남지구 15일 전북지구 22일 전남지구 29일 경남지구 11월 5일 경북지구 12일 충북지구 19일 강원지구
1964/12/11,"독일 통일교회 설립, 초대 협회장 피터 코흐(Peter Koch)",
1964/12/13,제1회 전국 예화산탄공기총 대회,
1965/01/21,"참부모님, 제1차 전국 성화학생회 대부흥회, 주제 '너는 누구의 것이며 어디로 갈 것이냐'",
1965/01/28,"참부모님, 윤삼성 신옥순 1가정 축복결혼식",아침 7시 거행
1965/01/28,"참부모님, 제1차 세계순회 환송식, 주제 '하나님의 목적'","최원복 김영운 최봉춘 씨 대동, 식구 1천300여명공항 환송 일본 도쿄 하네다공항 도착 한국 김포공항-일본 하네다 공항, 10월 10일까지, 일본 미국 유럽 등40개국 순방, 120개 성지택정"
1965/01/28,"참아버님, 제1차 세계순회 일본순회, 일본도쿄 환영회","제1차 세계순회, 하네다 공항 도착 후 난페이다이 본부교회 이동"
1965/02/11,"참아버님, 제1차 세계순회 일본환송회, 주제 '만인이 필요로 하는 사람'",
1965/02/15,"참아버님, 제1차 세계순회,미국순회, 샌프란시스코 성지택정",미국 성지 순회 결정 기념식
1965/03/16,일본의 최봉춘 선교사 미국 파송,
1965/05/18,독일 비스바덴(Wiesbaden)에 개척교회 설립,
1965/08/14,문인진(文仁進)님 탄생(음7.18),4:08
1965/08/24,"참아버님, 제1차 세계순회, 중동 6개국 순회, 이집트 카이로 도착",08.24 이집트 카이로 08.28 요르단 암만08.30 이스라엘 예루살렘 09.03 시리아 다마스커스 09.05 레바논 베이루트 09.06 이란 테헤란
1965/09/07,선화어린이무용단 제1차 해외 순회공연,"미국 25개 주 50여회 순회공연, 10여회 TV방송 출연 후 일본 도쿄에서 수회 공연,"
1965/10/24,캐나다 최초의 선교사 도착,1966년 봄에 건강상의 이유로 귀국
1965/12/26,"참부모님, 독신노인 축복식",
1966/02/18,기성가정 42가정 축복식,
1966/03/01,독일 에센과 함부르크에 개척교회 설립,
1966/04/12,고려대 원리연구회 주최 제1회 춘계 사상강연회 실시,강사 유효원 협회장
1966/05/01,《원리강론》 초판 발행,
1966/05/01,오스트리아 빈에 교회 설립,
1966/06/13,"오스트리아 빈 통일교회 종교기관 등록, 노방전도",
1966/08/15,한미문화자유재단 자유아시아방송 창설,
1966/10/29,이탈리아 통일교회 정부에 등록,
1966/11/07,기독교초교파운동본부 창설,
1966/12/04,문흥진(文興進)님 탄생(음10.23),0:33
1967/01/01,"참부모님, 1967년도 4대 활동목표 발표",
1967/03/28,기독교초교파운동본부 제1회 교리공청회,
1967/04/13,"제1회 기독교사상 강좌, 기독교초교파운동본부 주최",
1967/06/26,"참부모님, 정인숙(鄭仁淑) 선교사 대만에 파송","참부모님께서는 선교 활동을 시작하기 위해 공식적으로 대만에 선교사들을 파견하셨습니다. 일본계 한국인 정인숙(청렌수) 선교사가 먼저 왔고, 한국인 김효숙 선교사가 도와주러 왔습니다."
1967/09/03,"일본 다카라쓰카(寶塚) 수련소 개설, 효고현(兵庫縣) 소재",
1967/10/02,일본어 《원리강론》 발간,
1967/12/24,문은진(文恩進)님 탄생(음11.23),3:57
1968/01/13,국제승공연합 창설,"각 도의 반공계몽단 통합, 문화공보부 제164호 등록, 초대 이사장 김인철"
1968/02/22,"참부모님, 430가정 합동축복결혼식",
1968/04/01,일본 국제승공연합 창립,
1968/04/12,독신·기성가정 축복결혼식,
1968/12/18,"참아버님, 제1회 한·일 친선수렵대회",
1968/12/30,미국 자유지도자재단(FLF) 창립,
1969/02/01,"참부모님, 기성가정 17쌍 축복결혼식",일본 사업부 내한
1969/02/28,"참부모님, 43가정 축복결혼식, 미혼 7쌍 기성 6쌍",오후 4시 25분 성주식을 마치고5시 13쌍 축복식 주재.하객들이 대성황을 이룬 가운데 피로연.
1969/03/28,"참부모님, 제2차 세계순회 43가정 축복결혼식, 미혼 7쌍 기성 1쌍","오후 6시 성주식에 이어 7시에 교회 인근 홀에서 8쌍(신혼 7쌍, 기성 1쌍) 축복식, 화동회, 말씀 독일 에센시에서 제 1차 구라파 축복식 거행"
1969/05/01,"참부모님, 제2차 세계순회 43가정 축복결혼식, 미혼 12쌍 기성 10쌍","새벽예배에 이어 22쌍(신혼 12쌍, 기성 10쌍) , 성주식과 축복식 주재(도쿄 본부교회 3층 성전)"
1969/05/01,"참부모님, 제1회 전국 지역장 수련회, 주제 '교역자의 자세'",
1969/08/17,"참부모님, 성지(聖紙) 분배",
1969/09/22,월간 영문잡지 ‘더 웨이 오브 더 월드(The Way of the World)’ 발행,
1969/09/30,"참부모님, 제1회 전국성화대학생총회",
1969/10/29,국제학생신문 발간(제13호),
1969/11/13,"참아버님, 제1회 본부지구 청년수강회, 주제 '언젠가는 가야할 길'",
1969/12/01,이탈리아교회 밀라노에 성지 설정,
1969/12/09,한국문화재단 창설,
1970/01/21,제1회 아시아 승공대회,5개국 대표 50명 등
1970/02/01,"참부모님, 제1회 간부수련회, 주제 '완전한 탕감'",
1970/02/10,구리 중앙수련원 개원,
1970/03/23,"참부모님, 제1차 약혼대상자 특별수련회, 주제 '축복에 관하여'",172쌍 약혼 진행
1970/06/01,프랑스 파리 새 교회 설립,
1970/08/01,독일 뮤니히와 스투트가르트 교회 설립,
1970/10/21,"참부모님, 777가정 축복결혼식","777축복 가정들이 참부모님께‘링컨 컨티넨탈(서울0 가1026)‘ 차를 선물해 드림. 한국 539쌍 일본 235쌍 구미 16쌍 등 10개국, 총 790쌍 참가, 축복식 후 시내 카퍼레이드 진행"
1970/12/20,협회기관지 월간 ‘통일세계’ 창간호 발행,
1971/02/26,"참부모님, 일신석재공예주식회사 설립","대표이사 황충운, 자본금 1천만원"
1971/06/17,"참부모님, 청평수련원 착공식",16명 순회사
1971/07/12,청평수련원 완공,
1971/08/12,"참부모님, 제1차 전국교회장 수련회",
1971/09/01,불어판 《원리강론》 발행,
1971/12/16,주식회사 일화제약 설립,대표이사 김원필
1972/03/23,유럽 세계통일십자군 편성(IOWC),
1972/04/03,통일신학교 개교 및 72학년도 입학식,
1972/04/07,"참부모님, 빈에 청년합창단 조직",
1972/04/25,"참부모님, 세계승공궐기대회",
1972/04/26,"참부모님, 일본 세계통일십자군 편성",
1972/05/22,"참부모님, 제1차 기동대 발대식 개회식, 주제 '참된 승리'",
1972/06/13,일본 통일사상연구원 개설,
1972/08/13,"참부모님, 제1회 전국 교역장 수양회, 주제 '어찌하십니까'",
1972/08/20,통일사상연구원 창설,원장 이상헌
1972/08/30,"참부모님, 제1차 경기도 기동대 수양회, 주제 '하나님의 혈통 상속'",
1972/10/01,일본 통일사상연구원 창립,원장:노무라 켄지(野村健二) 초대 원장 취임
1972/10/19,한국티타늄공업주식회사 설립,대표 문승룡
1972/11/23,제1차 국제과학통일회의(ICUS),"1972.11.23-26. 미국 뉴욕 월돌프 아스토리아 호텔에서 미국, 한국, 영국, 독일, 일본, 스웨덴, 프랑스, 아르헨티나 8개국 총 50명 참가 주제:현대과학의 도덕적 방향에 대하여 문선명선생이 제3차 세계순회당시 계획한 회의로 일찍이 1943년 11명의 뜻있는 과학자들이 세계복지에 공헌할 목적으로 〈세계과학자 그룹〉을 만들고 ‘흘써클,이라는 기관지까지 발행하면서 활동하던 중 반수이상이 작고하는 등 도태되고 힘이 쇠진한 가운데서 미국학자 에드워드 하수켈박사 등 5명의 멤버들이 문선명선생을 만나뵙고 힘을 내게 되었으며, 마침내 선생님의 지시를 받은 하수켈 박사등이 앞장서 개최한 것이다. 이 회의에 영국의 아놀드 토인비 박사와 독일의 베르너 하이젠베르크 박사가 축하 및 격려의 메시지를 보내왔다."
1973/05/06,세계평화교수협의회 창설,"회장 이항녕, 전국 교수 163명"
1973/06/01,"《통일사상요강》 발행, 집필 이상헌",
1973/11/02,국제문화재단(ICF) 창설,
1974/03/05,리틀엔젤스예술학교 개교,
1974/04/21,제1차 국제학술회의,
1975/01/01,일본 세카이닛포(世界日報) 창간,사상신문을 제호 바꿔 일간지로 발행
1975/02/08,"참부모님, 1800가정 축복결혼식","한국 892쌍, 일본 811쌍, 구미 111쌍, 중국 2쌍 등 20개국"
1975/04/29,국제여성승공연합 창립,
1975/06/08,"참아버님, 박정희 대통령에게 서한 발송",
1975/06/10,"참부모님, 기성가정 및 독신 축복결혼식","기성 224쌍(한국 162쌍, 일본 62쌍), 독신 80명(한국 55명, 일본 25명)"
1975/08/14,인삼 수입 회사 Tongil S.L. 설립,
1975/09/20,"참부모님, 미국 통일신학대학원(UTS) 설립 및 개교식",학장 김상철
1975/10/10,뉴욕시티심포니오케스트라 창단,
1975/11/23,브라질 상파울루교회 설립,세계기독교통일신령협회 브라질에 정식 창립
1976/05/06,"참부모님, 고 월드 브라스밴드 창설",
1976/05/13,국제구호친선재단(IRFF) 창설,)
1976/10/01,"참부모님, 미국 초교파기독교협회 창설",
1977/01/01,"참부모님, 제10회 하나님의 날, 연두표어 ‘지상천국 이상가정’, 주제 '이상가정으로 인한 천국 실현'",
1977/02/03,"참아버님, 프래드릭 손탁 박사(Dr. Frederick Sontag)와 대담, 주제 '문선명 목사와의 문답'","참아버님이 캘리포니아 포모나 대학교 철학과 석좌교수인 Fredrick Sontag와 인터뷰를 하고 계십니다. 인터뷰는 6시간 동안 진행되며 회의는 9시간 동안 진행됩니다. 12:30pm, 30층, World Mission Center, NY에서 점심으로 시작"
1977/02/23,"참부모님, 지승일(地勝日) 및 천기원년 선포",
1977/03/04,선화예술고등학교 설립 헌공식,
1977/04/18,"참부모님, 제18회 부모의 날 기념식, 주제 '역사적 참부모의 날'",주제 ‘역사적 참부모의 날‘
1977/05/01,"참부모님, 협회 창립 23주년 기념예배",주제 ‘협회창립 24주년 기념과 하나님의 섭리역사‘
1977/05/03,"참부모님, 세계적 해방 선포(음3.16)",참부모님 성혼 17주년 기념일 세계적 해방선포/ 이스트가든 야외에서 공식 포토
1977/05/10,77학년도 통일신학교 개교식 및 입학식,"교장 이요한, 54명 입학"
1977/07/05,세계선교본부 설립,
1977/07/29,"참부모님, 미국 지도자회의, 주제 '수산사업 계획'",
1977/11/27,제1차 세계종교회의,
1977/12/04,"참부모님, 미국 세계지도자회의, 주제 '세계복귀를 위한 우리의 책임'",
1978/01/01,"참부모님, 제11회 하나님의 날 기념식, 연두표어 및 주제 ‘공식노정을 통한 천국실현’",
1978/02/10,제1회 세계승공대회,21개국 대표 등 1천여명
1978/02/24,"세계평화교수아카데미를 세계평화교수협의회로 개칭, 문공부에 사단법인 등록",
1978/08/11,주식회사 일성건업 개업식,대표이사 엄덕문
1978/09/26,"참아버님, 기관기업체장 및 교구장 회의","지시말씀 ‘역사적 반성, 주체성 확립, 신령적 전통확립, 전국통일교회화 운동, 가정교회운동’"
1978/10/04,"참부모님, 제2회 천승일 기념식, 주제 '천승일'",
1978/10/19,"참부모님, 제1차 세계언론인회의",1978.10.19-22. 미국 뉴욕 월돌프 아스토리아 호텔에서 16개국 40명 참가 주제:자유로운 언론의 장래 의장:촬스 모제스(전 아시아 방송동맹 사무국장)
1978/11/02,"참부모님, 문씨 종족 해방과 세계 종족해방 선포 통일해원식",
1978/12/19,제1회 통일사상강좌,
1979/01/01,"참부모님, 제12회 하나님의 날 기념식, 연두표어 ‘가정교회를 통한 천국완성’, 주제 '가정교회와 천국완성'",
1979/08/30,흥영수산주식회사 설립,
1980/01/01,"참부모님, 제13회 하나님의 날 0시 기념식, 연두표어 및 주제 ‘가정교회는 천국기지’",
1980/02/21,"참부모님, 참부모님 탄신 기념 및 참아버님 탄신 60주년 경배식",
1980/02/21,"참부모님, 참부모님 탄신 기념 및 참아버님 탄신 60주년 기념식, 주제 ‘하나님의 조국’",
1980/03/01,새종교일치연구회(New Ecumenical Research Association) 창립,
1980/06/09,아시아 초교파기독교협회 창설,
1980/10/01,"참부모님, 남북미통일연합(CAUSA International) 창설",
1980/11/17,"참아버님, 세계평화교수협의회 교수초청 만찬회, 주제 '통일교회 활동과 학자들의 사명'",주제 ‘통일교회 활동과 학자들의 사명‘
1980/11/18,"참부모님, 초교파기독교협회 참아버님 초청 만찬회, 주제 '하나님의 뜻으로 본 예수님과 기독교'","오후 6시, 기독교 지도자 1천여명"
1981/01/01,"참부모님, 제14회 하나님의 날, 연두표어 및 주제 ‘가정교회는 나의 천국’",
1981/02/10,"참아버님, 참부모님 탄신 기념식, 주제 '탕감복귀섭리역사'",
1981/03/28,국제크리스찬교수협의회(ICPA) 창립총회,"회장 장병림 박사, 사무국장 손대오 교수"
1981/10/18,"참부모님, 귀국 환영집회, 주제 '심정적 탕감조건을 통한 복귀섭리'",
1981/10/22,"참아버님, 탈세혐의로 뉴욕 연방지방법원 출두, 탈세혐의 무죄 주장, 폴리 스퀘어 광장 시위집회, 주제 '하나님이 나의 방패요 증거자'",하나님이 나의 방패요 증거자
